Date,Oil Price ($/barrel),GDP Growth (%)
2002-01-01,,3501.118
2002-04-01,,3608.496
2002-07-01,,3650.253
2002-10-01,,3712.845
2003-01-01,,3582.767
2003-04-01,,3680.929
2003-07-01,,3753.431
2003-10-01,,3860.185
2004-01-01,,3741.64
2004-04-01,,3837.587
2004-07-01,,3879.617
2004-10-01,,3990.913
2005-01-01,,3867.076
2005-02-28,19.9,
2005-03-31,20.76,
2005-04-01,,3972.818
2005-04-29,20.05,
2005-05-31,21.56,
2005-06-30,24.07,
2005-07-01,,4040.686
2005-07-29,27.89,
2005-08-31,27.4,
2005-09-30,32.43,
2005-10-01,,4107.378
2005-10-31,29.2,
2005-11-30,29.25,
2005-12-30,29.4,
2006-01-01,,4003.482
2006-01-31,39.92,
2006-02-28,38.91,
2006-03-31,40.31,
2006-04-01,,4116.718
2006-04-28,42.69,
2006-05-31,38.37,
2006-06-30,38.89,
2006-07-01,,4111.947
2006-07-31,34.06,
2006-08-31,32.09,
2006-09-29,29.21,
2006-10-01,,4201.0
2006-10-31,33.77,
2006-11-30,34.66,
2006-12-29,30.72,
2007-01-01,,4063.753
2007-01-31,30.72,
2007-02-28,30.02,
2007-03-30,28.93,
2007-04-01,,4184.414
2007-04-30,30.35,
2007-05-31,29.41,
2007-06-29,27.99,
2007-07-01,,4208.612
2007-07-31,23.42,
2007-08-31,22.29,
2007-09-28,24.38,
2007-10-01,,4305.666
2007-10-31,26.82,
2007-11-30,26.4,
2007-12-31,29.96,
2008-01-01,,4182.537
2008-01-31,28.27,
2008-02-29,35.48,
2008-03-31,34.11,
2008-04-01,,4226.589
2008-04-30,40.9,
2008-05-30,55.76,
2008-06-30,58.51,
2008-07-01,,4192.399
2008-07-31,44.26,
2008-08-29,35.16,
2008-09-30,27.29,
2008-10-01,,4179.959
2008-10-31,19.17,
2008-11-28,14.0,
2008-12-31,14.32,
2009-01-01,,3976.808
2009-01-30,12.57,
2009-02-27,8.05,
2009-03-31,6.15,
2009-04-01,,4060.384
2009-04-30,9.28,
2009-05-29,10.2,
2009-06-30,9.74,
2009-07-01,,4102.854
2009-07-31,10.69,
2009-08-31,9.88,
2009-09-30,11.71,
2009-10-01,,4209.064
2009-10-30,11.65,
2009-11-30,10.35,
2009-12-31,11.7,
2010-01-01,,4055.062
2010-01-29,8.91,
2010-02-26,8.81,
2010-03-31,8.4,
2010-04-01,,4188.706
2010-04-30,9.47,
2010-05-28,9.74,
2010-06-30,9.46,
2010-07-01,,4229.41
2010-07-30,9.21,
2010-08-31,9.04,
2010-09-30,10.6,
2010-10-01,,4316.573
2010-10-29,10.88,
2010-11-30,16.75,
2010-12-31,17.87,
2011-01-01,,4155.635
2011-01-31,20.35,
2011-02-28,25.53,
2011-03-31,22.79,
2011-04-01,,4251.8
2011-04-29,26.81,
2011-05-31,25.9,
2011-06-30,26.12,
2011-07-01,,4273.162
2011-07-29,27.1,
2011-08-31,21.12,
2011-09-30,13.76,
2011-10-01,,4371.813
2011-10-31,19.69,
2011-11-30,20.02,
2011-12-30,21.21,
2012-01-01,,4279.816
2012-01-31,21.61,
2012-02-29,25.25,
2012-03-30,21.08,
2012-04-01,,4345.706
2012-04-30,19.77,
2012-05-31,15.37,
2012-06-29,15.3,
2012-07-01,,4376.682
2012-07-31,18.49,
2012-08-31,17.26,
2012-09-28,18.78,
2012-10-01,,4440.555
