topic,source,author,title,description,content,published_at,url
freight rates,Business Insider,Emily Stewart,Trump wants to crack down on imports. Businesses are preparing for the worst.,"Consumers and businesses may have nowhere to hide from Trump's tariffs. So instead of waiting around, they're trying to get ahead of new import taxes.","anucha sirivisansuwan/Getty, Drew Angerer/Getty, Tyler Le/BI
In the days after the election, I caught myself doing some strange Googling. Mostly it was low-grade curiosity about the economic implica… [+9268 chars]",2024-11-24T09:09:02Z,https://www.businessinsider.com/trump-tariffs-what-to-buy-business-customers-anticipation-nervous-prices-2024-11
freight rates,Business Insider,Benjamin Zhang,"I drove a $63,000 Infiniti QX60. It's a stylish luxury SUV let down by its unrefined engine.","I drove a 2025 Infiniti QX60 luxury SUV in Luxe Black Edition trim and was impressed by its sleek design, quiet ride, and well-designed cabin.","The 2025 Infiniti QX60 Luxe Black Edition.Benjamin Zhang/Business Insider
<ul><li>The Infiniti QX60 is a midsize, three-row luxury SUV and the brand's best-selling model.</li><li>I was impressed by … [+7260 chars]",2024-12-16T19:49:39Z,https://www.businessinsider.com/infiniti-qx60-review-stylish-luxury-suv-spoiled-by-unrefined-engine-2024-12
freight rates,[Removed],,[Removed],[Removed],[Removed],2024-12-16T15:32:09Z,https://removed.com
freight rates,Forbes,"John Tamny, Contributor, 
 John Tamny, Contributor
 https://www.forbes.com/sites/johntamny/",DOGE’s Greater Potential Will Arguably Be Found In De-Regulation,Call the early railroads assembly lines on wheels.,"SAN BERNARDINO, CA - MAY 15: A freight train passes diagonally-shifted layers of earth as it ... [+] crosses the San Andreas Rift Zone, the system of depressions in the ground between the parallel fa… [+4927 chars]",2024-12-13T01:00:05Z,https://www.forbes.com/sites/johntamny/2024/12/12/doges-greater-potential-will-arguably-be-found-in-regulation/
freight rates,Yahoo Entertainment,"Zach Strickland, FW Market Expert & Market Analyst",Rising rejection rates amid demand drop reveal truckload capacity exodus,There is nuance in this freight market flip. Why is this transitioning truckload market unlike any other? The post Rising rejection rates amid demand drop...,"Photo: Jim Allen - FreightWaves
Chart of the Week: Contract Load Accepted Volume Index, Outbound Tender Volume Index USA SONAR: CLAV.USA, OTRI.USA
Carriers are accepting the same load volumes that … [+4877 chars]",2024-12-15T01:30:00Z,https://finance.yahoo.com/news/rising-rejection-rates-amid-demand-013000482.html
freight rates,CBS News,"Ash-har Quraishi, Amy Corral, Charlie Brooks, Matt Clark, Scott Pham, Jose Sanchez, Ryan Beard","Amazon trucking contractors have higher rates of safety violations, CBS News finds","Contracted truckers hauling packages between Amazon facilities are more likely to engage in dangerous behavior on the roads than other carriers, according to federal data analyzed by CBS News.",The death of a 19-year-old college student on a Texas highway is raising questions about the fleet of drivers Amazon uses to move packages between its facilities. College freshman Iliana Velez's life… [+8883 chars],2024-12-03T01:06:40Z,https://www.cbsnews.com/news/amazon-trucking-contractors-have-higher-rates-of-safety-violations/
freight rates,Yahoo Entertainment,"Craig Fuller, CEO at FreightWaves",Carrier Revenge: The freight market’s impending power shift,"In the ever-evolving landscape of the freight industry, a new phenomenon is emerging that threatens to upend the delicate balance between shippers and...","Signs of market recovery could me different dynamics on who holds the power in pricing. (Photo: Jim Allen/FreightWaves)
In the ever-evolving landscape of the freight industry, a new phenomenon is em… [+4212 chars]",2024-12-13T22:39:52Z,https://finance.yahoo.com/news/carrier-revenge-freight-market-impending-223952016.html
freight rates,Yahoo Entertainment,Saqib Iqbal Ahmed,Analysis-Strong momentum makes it hard to bet against ‘freight train’ US stock rally,"A relentless rally in U.S. stocks is showing few signs of slowing into year-end, even as rising valuations and signs of excessive speculation fuel worries...","By Saqib Iqbal Ahmed
NEW YORK (Reuters) - A relentless rally in U.S. stocks is showing few signs of slowing into year-end, even as rising valuations and signs of excessive speculation fuel worries t… [+4495 chars]",2024-12-09T06:03:19Z,https://finance.yahoo.com/news/analysis-strong-momentum-makes-hard-060319119.html
freight rates,Yahoo Entertainment,Todd Maiden,A stand-alone FedEx Freight gives LTL investors another pure play,A spinoff of FedEx Freight will give investors more options to play the less-than-truckload space. The post A stand-alone FedEx Freight gives LTL investors...,"FedEx is looking to cash in on the newfound love for LTL equities. (Photo: Jim Allen/FreightWaves)
Investors are getting more optionality when it comes to playing the less-than-truckload market. Fed… [+7424 chars]",2024-12-20T15:56:30Z,https://finance.yahoo.com/news/stand-alone-fedex-freight-gives-155630844.html
freight rates,Yahoo Entertainment,"Zach Strickland, FW Market Expert & Market Analyst",Will the maritime momentum continue in 2025?,Import demand has increased over the past two years as companies have largely corrected inventories and navigated treacherous waters in the maritime industry...,"Photo: Jim Allen - FreightWaves
Chart of the Week: Inbound Ocean TEUs Index, Customs TEUs Index USA SONAR: IOTI.USA, CSTEU.USA
U.S. container import demand is up more than 20% over where it was two… [+6012 chars]",2024-12-22T01:30:00Z,https://finance.yahoo.com/news/maritime-momentum-continue-2025-013000690.html
freight rates,International Business Times,AFP News,Lagarde Says ECB Will Continue To Cut Interest Rates,European Central Bank chief Christine Lagarde said Monday eurozone policymakers would keep cutting interest rates and warned that higher US tariffs under President-elect Donald Trump could hit growth in the bloc.,European Central Bank chief Christine Lagarde said Monday eurozone policymakers would keep cutting interest rates and warned that higher US tariffs under President-elect Donald Trump could hit growth… [+2117 chars],2024-12-16T10:15:20Z,https://www.ibtimes.com/lagarde-says-ecb-will-continue-cut-interest-rates-3755628
freight rates,Yahoo Entertainment,"Zach Strickland, FW Market Expert & Market Analyst",Reefer market tightens: Rising tender rejections signal shifting dynamics,Rising reefer tender rejection rates suggest the refrigerated truckload market is facing a tighter transportation procurement environment. The post Reefer...,"Photo: Jim Allen - FreightWaves
Chart of the Week: OReefer Outbound Tender Reject Index, Van Outbound Tender Reject Index USA SONAR: ROTRI.USA, VOTRI.USA
National refrigerated (reefer) tender rejec… [+5203 chars]",2024-12-08T01:30:00Z,https://finance.yahoo.com/news/reefer-market-tightens-rising-tender-013000191.html
freight rates,Forbes,"Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Nike Stock Could Rise 2x If It Recovers To Pre-Inflation Shock Highs,"The company is scheduled to announce its second-quarter earnings on Thursday, 19th December.","WUHAN, CHINA - DECEMBER 05: Pedestrians walk past a Nike store featuring a modern design and ... [+] mannequins displaying winter apparel on December 5, 2024, in Wuhan, Hubei Province, China. As the … [+7129 chars]",2024-12-18T06:05:25Z,https://www.forbes.com/sites/greatspeculations/2024/12/18/nike-stock-could-rise-2x-if-it-recovers-to-pre-inflation-shock-highs/
freight rates,gcaptain.com,Lori Ann LaRocco,Nuance in Ocean Freight Rates Could Be Another Front-Loading Tea Leaf,Ocean freight rates have jumped up  for the December 15-31 bookings signaling a tightness of space due to demand.  Logistics managers tell gCaptain the special bullet rates have quickly disappeared the time being and the spot is heading up.,"By Lori Ann LaRocco (gCaptain)  
Ocean freight rates have jumped up for the December 15-31 bookings, signaling a tightness of space due to demand. Logistics managers tell gCaptain the special bullet… [+3108 chars]",2024-12-11T19:05:34Z,https://gcaptain.com/nuance-in-ocean-freight-rates-could-be-another-front-loading-tea-leaf/
freight rates,BusinessLine,TE Raja Simhan & V  Sajeev Kumar,Overhanging storm on the Red Sea,"Global trade disrupted by Red Sea attacks, forcing ships to avoid Suez Canal, impacting transit times and freight rates.","Its been a year since Houthi militants began attacking commercial ships in the Red Sea, leading to a major disruption in global trade. Commercial ships now largely avoid the Suez Canal the shortest s… [+4469 chars]",2024-12-01T14:23:00Z,https://www.thehindubusinessline.com/economy/logistics/overhanging-storm-on-the-red-sea/article68934547.ece
freight rates,gcaptain.com,Reuters,Hapag-Lloyd Expects Lower Profitability in Fourth Quarter,"Hapag-Lloyd expects lower profitability in the fourth quarter but still at a ""good level"", after freight rates peaked in the third quarter, Rolf Habben Jansen, the CEO of the German shipping company, said at a press conference on Monday.","Dec 2 (Reuters) – Hapag-Lloyd expects lower profitability in the fourth quarter but still at a “good level”, after freight rates peaked in the third quarter, Rolf Habben Jansen, the CEO of the German… [+1171 chars]",2024-12-02T16:21:08Z,https://gcaptain.com/hapag-lloyd-expects-lower-profitability-in-fourth-quarter/
freight rates,CBS News,Kate Gibson,"Amazon ignored warnings about worker injuries, Senate probe finds",E-commerce giant executives allegedly rejected safety recommendations urging production quotas be curtailed.,"Amazon knew of the link between increased worker injuries and the company's production quotas, but its executives allegedly rejected safety recommendations to loosen its mandates, an investigation by… [+2992 chars]",2024-12-16T19:01:17Z,https://www.cbsnews.com/news/amazon-worker-injuries-bernie-sanders-senate-probe/
freight rates,Yahoo Entertainment,STAN CHOE,Stock market today: Wall Street drifts toward the close of a dismal week,The S&P 500 edged down by 0.1% as its struggles continue after the Federal Reserve warned Wednesday it may deliver fewer cuts to interest rates next year...,"NEW YORK (AP) U.S. stocks are drifting Friday toward the close of one of their worst weeks of the year.
The S&amp;P 500 edged down by 0.1% as its struggles continue after the Federal Reserve warned … [+4113 chars]",2024-12-20T04:43:24Z,https://finance.yahoo.com/news/stock-market-today-asian-shares-044324049.html
